fecha,hora,sensor,valor
2026-06-15,00:00,temperatura,1.1
2026-06-15,00:00,viento,15.8
2026-06-15,00:00,humedad,76.5
2026-06-15,01:00,temperatura,4.0
2026-06-15,01:00,viento,2.4
2026-06-15,01:00,humedad,69.3
2026-06-15,02:00,temperatura,1.9
2026-06-15,02:00,viento,14.4
2026-06-15,02:00,humedad,88.3
2026-06-15,03:00,temperatura,3.3
2026-06-15,03:00,viento,16.6
2026-06-15,03:00,humedad,88.1
2026-06-15,04:00,temperatura,-1.1
2026-06-15,04:00,viento,2.5
2026-06-15,04:00,humedad,92.4
2026-06-15,05:00,temperatura,-0.8
2026-06-15,05:00,viento,13.9
2026-06-15,05:00,humedad,88.3
2026-06-15,06:00,temperatura,-0.7
2026-06-15,06:00,viento,14.1
2026-06-15,06:00,humedad,90.3
2026-06-15,07:00,temperatura,3.8
2026-06-15,07:00,viento,6.2
2026-06-15,07:00,humedad,55.8
2026-06-15,08:00,temperatura,16.2
2026-06-15,08:00,viento,14.3
2026-06-15,08:00,humedad,66.6
2026-06-15,09:00,temperatura,12.3
2026-06-15,09:00,viento,11.7
2026-06-15,09:00,humedad,58.8
2026-06-15,10:00,temperatura,15.8
2026-06-15,10:00,viento,5.9
2026-06-15,10:00,humedad,56.6
2026-06-15,11:00,temperatura,5.5
2026-06-15,11:00,viento,8.9
2026-06-15,11:00,humedad,57.0
2026-06-15,12:00,temperatura,16.6
2026-06-15,12:00,viento,13.3
2026-06-15,12:00,humedad,77.1
2026-06-15,13:00,temperatura,-300.0
2026-06-15,13:00,viento,5.4
2026-06-15,13:00,humedad,70.2
2026-06-15,14:00,temperatura,7.0
2026-06-15,14:00,viento,11.4
2026-06-15,14:00,humedad,74.5
2026-06-15,15:00,temperatura,13.1
2026-06-15,15:00,viento,30.5
2026-06-15,15:00,humedad,78.4
2026-06-15,16:00,temperatura,8.9
2026-06-15,16:00,viento,27.2
2026-06-15,16:00,humedad,72.3
2026-06-15,17:00,temperatura,14.4
2026-06-15,17:00,viento,6.8
2026-06-15,17:00,humedad,73.0
2026-06-15,18:00,temperatura,9.6
2026-06-15,18:00,viento,7.8
2026-06-15,18:00,humedad,67.2
2026-06-15,19:00,temperatura,10.7
2026-06-15,19:00,viento,3.7
2026-06-15,19:00,humedad,77.5
2026-06-15,20:00,temperatura,7.5
2026-06-15,20:00,viento,14.0
2026-06-15,20:00,humedad,150.0
2026-06-15,21:00,temperatura,7.5
2026-06-15,21:00,viento,8.0
2026-06-15,21:00,humedad,66.1
2026-06-15,22:00,temperatura,15.5
2026-06-15,22:00,viento,12.2
2026-06-15,22:00,humedad,63.2
2026-06-15,23:00,temperatura,11.6
2026-06-15,23:00,viento,5.5
2026-06-15,23:00,humedad,61.3
2026-06-16,00:00,temperatura,6.8
2026-06-16,00:00,viento,3.8
2026-06-16,00:00,humedad,68.1
2026-06-16,01:00,temperatura,17.1
2026-06-16,01:00,viento,19.5
2026-06-16,01:00,humedad,60.1
2026-06-16,02:00,temperatura,7.6
2026-06-16,02:00,viento,12.0
2026-06-16,02:00,humedad,52.5
2026-06-16,03:00,temperatura,13.9
2026-06-16,03:00,viento,6.8
2026-06-16,03:00,humedad,58.3
2026-06-16,04:00,temperatura,13.7
2026-06-16,04:00,viento,18.2
2026-06-16,04:00,humedad,76.3
2026-06-16,05:00,temperatura,10.9
2026-06-16,05:00,viento,10.8
2026-06-16,05:00,humedad,87.2
2026-06-16,06:00,temperatura,16.7
2026-06-16,06:00,viento,3.5
2026-06-16,06:00,humedad,87.0
2026-06-16,07:00,temperatura,7.3
2026-06-16,07:00,viento,18.9
2026-06-16,07:00,humedad,50.4
2026-06-16,08:00,temperatura,12.2
2026-06-16,08:00,viento,999.0
2026-06-16,08:00,humedad,55.9
2026-06-16,09:00,temperatura,16.2
2026-06-16,09:00,viento,17.1
2026-06-16,09:00,humedad,64.1
2026-06-16,10:00,temperatura,11.8
2026-06-16,10:00,viento,7.7
2026-06-16,10:00,humedad,75.8
2026-06-16,11:00,temperatura,10.2
2026-06-16,11:00,viento,17.9
2026-06-16,11:00,humedad,73.9
2026-06-16,12:00,temperatura,9.5
2026-06-16,12:00,viento,36.4
2026-06-16,12:00,humedad,71.0
2026-06-16,13:00,temperatura,10.4
2026-06-16,13:00,viento,35.9
2026-06-16,13:00,humedad,56.2
2026-06-16,14:00,temperatura,11.5
2026-06-16,14:00,viento,37.8
2026-06-16,14:00,humedad,51.0
2026-06-16,15:00,temperatura,9.7
2026-06-16,15:00,viento,41.9
2026-06-16,15:00,humedad,73.4
2026-06-16,16:00,temperatura,14.2
2026-06-16,16:00,viento,12.5
2026-06-16,16:00,humedad,74.1
2026-06-16,17:00,temperatura,18.9
2026-06-16,17:00,viento,15.9
2026-06-16,17:00,humedad,66.0
2026-06-16,18:00,temperatura,16.7
2026-06-16,18:00,viento,10.1
2026-06-16,18:00,humedad,52.2
2026-06-16,19:00,temperatura,6.2
2026-06-16,19:00,viento,14.5
2026-06-16,19:00,humedad,65.2
2026-06-16,20:00,temperatura,15.5
2026-06-16,20:00,viento,4.4
2026-06-16,20:00,humedad,60.4
2026-06-16,21:00,temperatura,9.8
2026-06-16,21:00,viento,9.4
2026-06-16,21:00,humedad,62.5
2026-06-16,22:00,temperatura,14.3
2026-06-16,22:00,viento,14.4
2026-06-16,22:00,humedad,62.2
2026-06-16,23:00,temperatura,17.5
2026-06-16,23:00,viento,6.3
2026-06-16,23:00,humedad,71.1
